title,company,district,classification,work-type,description
"Data Scientist/ Software Engineer (MPhil/BEng/ 0-5yr Exp., AI, GPT & FinTech)",Automated Machine Learning Limited,"Kowloon Bay, Kwun Tong District",Engineering - Software (Information & Communication Technology),Full time,"(Positions funded by HKGov's Programme)Are you passionate about innovation and solving problems?AutoML Plus (AML) is anAI + FinTechstartup funded by Hong Kong Science Park. At AML, we use the latest software technologies to discover patterns and to create new insights through ourR&D projectsin Big Data, AI, GenAI/GPT, WealthTech, and FinTech.AutoML Capital, our partnering company, has been granted Type 4 (advising on securities) and Type 9 (asset management) licenses by the SFC. Great opportunity to gain securities and relevant experience as licensed representative or RO.Job Description:Solve problems using computational skills, GenAI/GPT, machine learning modules (e.g. Neural Networks, SVM, KNN) and mathematical optimization;Design tools for managing the infrastructure and program clean & re-usable simple codes;Develop codes for extensive test coverage, perform continuous deployment in a professional software engineering environment;Automate end-to-end pipeline to execute decision of machine learning algorithms, implement real-time monitoring tools, and develop modern, high-quality front-end/web-based products;Configure server images, optimize the task performance in correspondence with the engineers.Job Requirements:Final-year undergraduate, postgraduate, or 1-5 years of experience, in software development or science disciplines, e.g., Information Engineering, Computer Science/Engineering, System Engineering, Physics, Mathematics etc.;Experience in DevOps and Linux-based software development (e.g. Git, Docker);Experience in Python, Java, Pandas, Deep Learning, Machine Learning, Tensorflow, GPU and distributed computing. Experience in GenAI/GPT, Front-end and Android app development is a plus;Fast learner with a can-do attitude who is willing to learn and test new technologies.Interested parties please apply with detailed resume (in PDF Format).All applications will be treated in strict confidence. Personal information collected will be used solely for the purpose of recruitment."
Major Bank: IT BA / Senior BA (Derivatives / Interest Rate),IT Solutions Ltd.,"Central, Central and Western District",Treasury (Banking & Financial Services),Full time,"We are searching on behalf of a major bank forIT Business Analysts / Senior Business Analyststo work onDerivatives / Interest Rate related System Project.Responsibilities:Gather user requirements and feasibility studyPropose business solutions on business requirements with appropriate technologiesCommunicate and coordinate between business users and development teamsProduce functional specificationAnalyze requirement from compliance institution or users on financial markets and operation workflowCoordinate User Acceptance TestManage IT project implementationRequirements:Degree in Global Business, Finance, Business Admin, Computer Science or related discipline2 years+ business analysis, preferably in banking industryGood experience and knowledge of Derivatives / Interest Rate is a big plus** Candidate with less experience will be considered as Junior roleBenefits:Attractive remuneration will be offered to the successful candidate.Excellent opportunity to further develop your professional skills in Investment in a major banking environment.If you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:jobs @itsolutions.com.hkorPlease click the Apply Now button and attach your cv in MS Word Format, specifying your availability, current and expected salaries.Personal data collected will be used for recruitment purposes only.IT Solutions Ltd.Suite 210221/F Lucky Building39 Wellington StreetCentral, Hong Kong(P.S. We do not process applications from overseas for this position)Company OverviewIT Solutions Ltd., established in 1998, is a professional Search Firm specializing in recruitment services of IT professionals for Large Corporations in Hong Kong. For more than 26 years, we have been working with our corporate clients from Banking & Financial Sector, SI, Multinational Corporations and Hong Kong Government Departments.Our know-how covers all aspects of IT services, including all varieties of technologies of Application Development from old to the latest technologies, Data Scientist, Business Analysis, QA & Project Management, as well as all aspects of IT Infrastructure on all platforms, network and security.If you are in the IT field, whether a seasoned IT Professional or a fresh graduate contemplating a career in IT, do not hesitate to contact us for your career development. We are eager to assist you and to discuss job opportunities with you."
Junior/ Assistant IT Business/ System Analyst,OM Log (Asia) Limited,Tuen Mun District,Business/Systems Analysts (Information & Communication Technology),Full time,"Provide solutions and support to warehouse management system for warehouses in Hong Kong & ChinaDesign and coordinate the integration of WMS to customer’s systems including ERP and OMS for wholesale, retail and ecommerce operationsFirst-level contact and issues resolutionEscalating issues resolution to Italy IT TeamTechnical writing (technical specifications, instruction manual, user’s guide, presentation, etc.)Gather and document requirements and perform analysis for change requestsPerform unit test, system integration test and user acceptance testCreate SSRS reports to extract statistical data from the databaseRequirements:Bachelor’s degree in Computer Science, Information systems orrelevant experience as IT support is requiredover 2 years of relevant experience is preferred; less experience or fresh University graduated will also be considered;Demonstrated skills in business and technical requirements gathering, process flows and data mappingHands-on experience in WMSWork experience in MS SQL serverExperience in SSRS or other reporting toolsUnderstanding of basic EDI and API functionsGood command of written and spoken English, Cantonese and MandarinBenefits:OT , bank holiday, traveling allowance,  meal allowance, year end double pay, 12 days annual leave, medical scheme (including immediate family members)Salary     :  NegotiableInterested parties please send your full resume with job description and expected salary to us."
Corporate Banking: Junior IT Business Analysts - Major Bank (Welcome Fresh Grad),IT Solutions Ltd.,Hong Kong,Banking - Corporate & Institutional (Banking & Financial Services),Full time,"We are searching on behalf of a major bank for a number ofJunior IT Business AnalystsResponsibilities:Create detailed business analysis, outline problems and professional solutions to users and developersFormulate Test Plans and conduct User Acceptance TestWork closely with business users and developers to ensure effective project implementationAssist to manage IT project implementationRequirements:Degree in Business Studies or Computer Science or related disciplineWith or without Working experienceStrong attentions to detail and good problem-solvingStrong communications and presentation skillsGood written and spoken Chinese and EnglishFresh Graduates with no experience are welcome to applyBenefits:Attractive remuneration will be offered to the successful candidate.Excellent opportunity to further develop your professional skills in major banking environment.Gain expertise in the full range of operations of Payment Systems in the BankIf you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:jobs @itsolutions.com.hkorPlease click the Apply Now button and attach your cv in MS Word Format, specifying your availability, current and expected salaries.Personal data collected will be used for recruitment purposes only.IT Solutions Ltd.Suite 210221/F Lucky Building39 Wellington StreetCentral, Hong Kong(P.S. We do not process applications from overseas for this position)"
Junior Data Center Operator (7x24 Shift) Salary range from $16000 to $19000,Tech Advance Consultancy Limited,"Kowloon Bay, Kwun Tong District",Help Desk & IT Support (Information & Communication Technology),Full time,"Jobs Duties:Provide Technical Support services including: Data Centre operations, equipment maintenance and service provisioningProvide technical support services including fault reporting, troubleshooting, cable testing, equipment installation for external customersInstall and uninstall customer connectivity service, including circuit testing and labelingPerform cross connect related audit duties, record validation and housekeeping workSupport for local networking devicesIncident handling, problem troubleshooting and escalation to upper tierMaintain accurate records, document all problems, and prepare reportsDelivery of operation reports, management reportEnsure compliance with operation rules in managing customers' equipmentRequirements:Willing to perform 7 x 24 shift dutyCustomer focus with good communications and interpersonal skillsGood presentation skills and problem solving skillsDiscipline, self-initiative, self-motivateHands-on experience in hotline support and data center operations is preferred.Working experience in data center operation / technical support / hotline support is preferredImmediately available will be advantageFresh Graduates are WelcomeWorking location:  90% working in Kowloon Bay, 10% working in Cyberport.(Ref: KH)"
Junior Business Analyst /KYC ($17k-20k) (Fresh graduates are...,AA Choice Personnel Consultancy Limited,"Wan Chai, Wan Chai District",Compliance & Risk (Banking & Financial Services),Full time,"Requirement:University graduated0-1 year of related working experience (Fresh graduates are welcome)Good command of spoken & written English & ChineseProficient in MS Office applicationsDuties:Financial & business information analysis,Report writing, Research, Field visit & People interviewNeed to outdoor visit client as requiredPerform ad-hoc tasks and projects as requiredTraining will be providedPleasesend your resume inWORD format, stating current, expected salary and availability and clicking APPLY NOW."
FX / Precious Metal: IT Business Analysts - Major Bank,IT Solutions Ltd.,Hong Kong,Corporate Finance & Investment Banking (Banking & Financial Services),Full time,"We are searching on behalf of aMajor Bankfor a number of high-calibreITBusiness Analysts to work on business analysis ofTreasuty Products system Projects.Responsibilities:Act as the key interface between business users and technical developers.Understand SDLC and/or Product life cycle of Treasury products.Collect and document user requirements.Analyze user requirements and propose solutions to business on system operation workflow.Coordinate User Acceptance Test.Manage and Coordinate IT project implementation.Requirements:Degree in Global Business, Finance, Business Admin, Computer Science or other disciplinesExperience or good knowledge of Treasury Products / Global MarketsGood problem solving, communication and interpersonal skillsWilling to learn, and able to work with teamsCFA certificate Holder is an advantageCandidates with less experience will be considered for Junior Business AnalystBenefits:Attractive remuneration will be offered to the successful candidate.Excellent opportunity to further develop your professional skills in Investment in a major banking environment.If you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:jobs @itsolutions.com.hkorPlease click the Apply Now button and attach your cv in MS Word Format, specifying your availability, current and expected salaries.Personal data collected will be used for recruitment purposes only.IT Solutions Ltd.Suite 210221/F Lucky Building39 Wellington StreetCentral, Hong Kong(P.S. We do not process applications from overseas for this position)Company OverviewIT Solutions Ltd., established in 1998, is a professional Search Firm specializing in recruitment services of IT professionals for Large Corporations in Hong Kong. For more than 26 years, we have been working with our corporate clients from Banking & Financial Sector, SI, Multinational Corporations and Hong Kong Government Departments.Our know-how covers all aspects of IT services, including all varieties of technologies of Application Development from old to the latest technologies, Data Scientist, Business Analysis, QA & Project Management, as well as all aspects of IT Infrastructure on all platforms, network and security.If you are in the IT field, whether a seasoned IT Professional or a fresh  graduate contemplating a career in IT, do not hesitate to contact us for your career development. We are eager to assist you and to discuss job opportunities with you."
Junior / Business Analyst (Finance) - Up to 26K + 18 days annual leave,CKC Solutions Limited,"North Point, Eastern District",Analysis & Reporting (Accounting),Full time,"Our client is a well-known company in Hong Kong. To cope with their expansion, they are looking for a Business Analyst to join their team in Hong Kong.Responsibilities:In charge of web and app, financial portal projectsCollect and analyze user requirement to prepare functional specificationsCommunicate and coordinate between business users and development teamsCoordinate and execute user acceptance testResponsible for project processes, documentation, progress reporting, status meeting and escalation effectivelyParticipate in the full project life cycle and prepare related documentationDevelop detailed use case scenarios and product design specificationsRequirements:Higher Diploma in business, Information Technology or relevant disciplinesAt least 1 year of working experience in Business AnalysisProficiency in data analysis and reportingStrong understanding of product design and use case analysisExperience with project management methodologies and tools"
Major Bank: BA / Senior BA (Wealth Management System),IT Solutions Ltd.,Hong Kong,Business/Systems Analysts (Information & Communication Technology),Full time,"We are searching on behalf of a Major Bank forBusiness Analyst / Senior Business Analystto work onWealth Management System Project.Responsibilities:Act as the key interface between business users and technical developersPerform business analysis and user requirement studiesFormulate Test Plans and conduct User Acceptance TestPrepare system documentation such as requirements specificationsManage IT project implementationRequirements:Degree in Finance or Business Admin or Computer Science or related discipline2+ years working experience in Business Analyst, preferably in banking industryExperience & knowledge of Banking wealth produces is a big plus.Good problem solving, communication and interpersonal skills** Candidate with less experience will be considered as Junior roleBenefits:Attractive remuneration will be offered to the successful candidates.Excellent opportunity to further develop your professional skills in working on a major Financial Banking Project in a major bank.If you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:jobs @itsolutions.com.hkorPlease click the Apply Now button and attach your cv in MS Word Format, specifying your availability, current and expected salaries.Personal data collected will be used for recruitment purposes only.IT Solutions Ltd.Suite 2102, 21st FloorLucky Building39 Wellington StreetCentral, Hong Kong(P.S.  We do not process applications from overseas for this position)Company OverviewIT Solutions Ltd., established in 1998, is a professional Search Firm specializing in recruitment services of IT professionals for Large Corporations in Hong Kong. For more than 26 years, we have been working with our corporate clients from Banking & Financial Sector, SI, Multinational Corporations and Hong Kong Government Departments.Our know-how covers all aspects of IT services, including all varieties of technologies of Application Development from old to the latest technologies, Data Scientist, Business Analysis, QA & Project Management, as well as all aspects of IT Infrastructure on all platforms, network and security.If you are in the IT field, whether a seasoned IT Professional or a fresh graduate contemplating a career in IT, do not hesitate to contact us for your career development. We are eager to assist you and to discuss job opportunities with you."
Data Engineer,Company Confidential,Hong Kong,Engineering - Software (Information & Communication Technology),Full time,"ResponsibilitiesBe involved in prototyping, coding, configuration, and test,Contribute to System and Software documentation,Define test document, perform integration, verification, and validation tests,Deliver software release,Perform software quality controlRequirementsDegree with specialisation/option in Computer Science, Data Analytics, Machine Learning, Applied Mathematics, Applied Statistics, AI ... is an advantage5+ years of experience inData analytics,Data processing, Machine Learning, statistical and mathematical knowledgePython for data manipulation (Pandas, Numpy, pySpark)Python for machine learning : scoring, time series, clustering, optimization (scikit-learn, keras)Database principles, data modelling, data warehousing, DDL and SQLPrinciples and application ofDevOpsandMLOpsSoftware development life cycleFluent in EnglishDesirableKnowing how to use Git, Docker (Dockerfile and compose), Kubernetes, Jenkins, Ansible is an advantageKnowing Scala on Spark, Delta.io, Julia is an advantageLinux commands (install, configuration, network) is an advantageAbility to setup and drive Design Thinking workshops is an advantageKnowing Cantonese / French is an advantage"
Data Engineer,Company Confidential,Hong Kong,Engineering - Software (Information & Communication Technology),Full time,"ResponsibilitiesBe involved in prototyping, coding, configuration, and test,Contribute to System and Software documentation,Define test document, perform integration, verification, and validation tests,Deliver software release,Perform software quality controlRequirementsDegree with specialisation/option in Computer Science, Data Analytics, Machine Learning, Applied Mathematics, Applied Statistics, AI ... is an advantage5+ years of experience inData analytics,Data processing, Machine Learning, statistical and mathematical knowledgePython for data manipulation (Pandas, Numpy, pySpark)Python for machine learning : scoring, time series, clustering, optimization (scikit-learn, keras)Database principles, data modelling, data warehousing, DDL and SQLPrinciples and application ofDevOpsandMLOpsSoftware development life cycleFluent in EnglishDesirableKnowing how to use Git, Docker (Dockerfile and compose), Kubernetes, Jenkins, Ansible is an advantageKnowing Scala on Spark, Delta.io, Julia is an advantageLinux commands (install, configuration, network) is an advantageAbility to setup and drive Design Thinking workshops is an advantageKnowing Cantonese / French is an advantage"
"System Analyst (Perm, Python, AI project, 50K)",Recruit Logic Limited,"Sheung Wan, Central and Western District",Developers/Programmers (Information & Communication Technology),Full time,"What Will You ExpectPerform system design, analysis, coding and testing application systems using GPT technology.Analyze system requirements, business workflows, and processes to design and establish the system architecture.Conducting code reviews and providing constructive feedback to ensure code quality and adherence to best practices.Mentoring and guiding junior team members and encouraging the adoption of industry best practices.Prompt engineering to craft and fine-tune prompts to achieve desired outputs from the GPT models.Write clean, modular code in Python and C#Containerize applications using Docker for deployment on Azure platforms like AKSBuild and maintain client relationships.What Are We Looking ForBachelor's degree in IT, computer science, or related fields.Minimum 4 years of experience in software developmentProficiency in Python programming language, with a strong understanding of its libraries and frameworks commonly used in AI development, such as transformers, scikit-learn, TensorFlow, PyTorch, and FastAPIKnowledge of web development using HTML5/CSS3 is a plus.Experience deploying applications on Cloud platforms like Azure and AWS is a plusProven success as a technical team leader with team lead experienceFluent in SQL for data manipulation."
Business Analyst/ Junior Consultant (Hong Kong),Company Confidential,Hong Kong,Business/Systems Analysts (Information & Communication Technology),Full time,"Our service offerings cover the entire lifecycle of financial technology transformation projects be it a greenfield implementation, an extension, or an upgrade.At Upskills, we are a team of creative thinkers and problem solvers, our ultimate mission is to breakthrough innovation! All of us are fully engaged in the Fintech industry to deliver cutting-edge solutions for capital markets and digital transformation.Our DNA is reflected in our values, these are how we act everyday to make the greatest impact on what we are doing!The Upskills 6We look for curious people, open-minded about ideas that challenge the status quo and ask why not!We all act proactively to learn and grow constantly.We foster an environment where all of us care for one another, promoting teamwork and collaboration.We strongly encourage respectful conversations that stimulate creativity and innovation.We all empower to think and act like owners, taking ownership of our work and driving impactful results.We are serious about fun, creating a positive and enjoyable workplace where individuals can thrive both personally and professionally.Key RequirementsBachelor / Master Degree Holder, preferably from Financial Engineering, Banking and Finance, Computer Science, Quantitative Finance, Information System or similar disciplinesKnowledge on financial products such as forwards, futures, swaps, bonds and optionsProactive with the ability to deliver tasks on-timeExperience in SQL, R, Python, and Excel VBA be advantageousHighly committed and motivated to learn in the Financial Market"
"Data Scientist (40-65k, Commerce)",Randstad Hong Kong Limited,Central and Western District,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"about the company.The company is one of the sizeable company with growth in Digital and Data Functions and look for talents to join.about the job.Deliver actionable data science, data analytics and insights solutions for variious business unitsExplore data and conduct in-depth analyses, including studying behaviors and segmentation analyses, to identify improvement opportunities and growth potential in data monetizationCommunicate with business units and explore and deliver data science & analytics solutions to drive the business impactTurn data into insight, and do data storytelling for facilitating business decisionsskills & experiences required.Master degree in Computer Science, Economics, Mathematics, Statistics or related disciplines.At least 5 years' work experience in data science & analyticWith proven track record of leveraging large amount of data to drive significant data solutions on business valueExperience in cloud technology and with exposure of protoyping and productionalizing advance analytics solutions in business.Solid experience in Python, Spark, R, Hive, Hadoop, SQLProficiency in data visualization tools, ideally Qlikview, PowerBI and AlteryxExcellent communication skills and presentation skills"
Senior Data Scientist,Company Confidential,"Kowloon City, Kowloon City District",Engineering - Software (Information & Communication Technology),Full time,"Who we are looking for:Creativity in new ideas and future focus vision.Collaboration with colleagues and the community at large.Work Smart, Play Smart!What you'll do:Study the AI technology trends and applications for industries, especially the manufacturing industry, so as to identify the potential solutions for industries’ productivity improvement and upgradingPropose and evaluate technical ideas with other functional units so as to design a suitable solution on order prediction, PHM, fault diagnosis, quality forecast and so on against the requirements and demandsDefine the technical development roadmap of AI technology applications so as to work out the R&D tasks and implementation planBe responsible for the development and optimization of the industrial AI and machine learning algorithms of the specific application fieldsLead project team to carry out R&D tasks against the plans and complete the projects (including R&D work, project documents, technical report and paper, patents, etc.) as scheduled with high standardBuild up and maintain a good network with other professional organization so as to acquire new technologies and create synergyYou'll be a good fit if you have/are:Master or above Degree in Computer Science, Mathematics, Statistics, Intelligent Systems, related disciplines or equivalentAt least 6 years hands-on experience in data analysis with actual usersUnderstanding on AI and machine learning framework, such as Tensorflow, PyTorch, Pandas, Scikit-learn, etc., and experience in NodeJS, JavaScript, Python, R or similar languagesKnowledge of Linux and cloud application, such as Azure, AWS and GCP an advantageGood writing, presentation, communication and analytical skillsPassionate, self-motivated, and able to work independently and meet tight deadlinesApplicants may be considered for other positions if not matching the requirements of the subject positionNote: Applicant may be considered for other positions if not matching the requirements of the subject position.What we offer and What you’ll like here:Exciting new technology development (e.g. IoT, 5G, LoRA, AI etc.) to actualize your creative ideasOpportunities to work with our innovative and vibrant talentsEmbracing work flexibility (including Flexi-work hour)Dynamic and energetic culture with smart outfits & sport shoesAcademic training scholarship to take your career up a notchMPF Top-up & dental benefitMedical benefits from Day 1 with extended coverage to dependent(s)"
Software Engineer / Assistant Software Engineer (Data Management/Data Analytics),IT Channel (Asia) Limited,"Tsim Sha Tsui, Yau Tsim Mong District",Engineering - Software (Information & Communication Technology),Full time,"Job Description:Perform technical development tasks in projects.Develop technical solutions using different technologies to meet agreed requirements.Prepare technical and functional specifications document.Provide technical and functional consultancy to clients.Meet and work with clients to collect business requirements.Requirements:Degree holder in Computer Science, Information Systems, or equivalent combination of education.Minimum 2 years of relevant working experience in data analytics, data management domains.Good concept and foundation skills on software development or data analytics domain.Solid SQL development experience is essential.Knowledge in Data Visualization, Big Data, Business Intelligence, Data Warehouse and Data Management would be advantageous but not essential.Strong enthusiasm in taking up new technologies.Self-motivated and good problem-solving skills.Quality and achievement oriented.Able to work independently.Able to communicate effectively in both English and Chinese on verbal on written form."
Brand Partner Specialist - Territory (Data & AI),IBM China / Hong Kong Ltd,Hong Kong,Administrative Assistants (Administration & Office Support),Full time,"IntroductionAt IBM, work is more than a job – it’s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you’ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world’s most challenging problems? If so, lets talk.Your Role and ResponsibilitiesThe Software Solutions Brand Sales is responsible for developing solutions that address our client’s business needs and deliver client value, technical knowledge with integrated products knowledge is crucial. The Software Solutions Brand Sales will work to create solutions which are tailored to client’s business needs and integrate the capabilities in a way that is valued by the customer and superior to the competition through technical viewpoint. In this role, it is essential to be able to apply industry specific knowledge and experience to bring new business and technology insights to assigned clients, selling with technical capability on basic architectural view. Furthermore, you will work together with IBM partners and external system integration providers for selling software solutions by leveraging different approach of cold calling, digital marketing campaigns or any other innovative ways.Major Responsibilities:• Sell DataAI & Automation solutions with technical skillset.• Territory / pipeline management• Opportunity identification• Lead Proof of Concepts, demonstrations, client workshops and presentations• Quotes / pricing, and other proposal development activitiesRequired Technical and Professional Expertise• 8+yearsof experience as software sales.• 5+yearsin DataAI & Automation solution related fields.• Experienced sales background, solid record of achieving sales targets.• Excellentcommunicationskill inEnglishandChineseand Client Relationship Skills• Great teaming skills, with a focus on creating client value.Preferred Technical and Professional Expertise• Experience in channel development or expand partner ecosystem is preferred.• Experience in key account coverage role is preferred.• Experience to deliver sales pitch to C-level is preferred.• IT technical background is preferred."
"Engineer, Data Science (Data Engineer)",Company Confidential,"Kowloon City, Kowloon City District",Engineering - Software (Information & Communication Technology),Full time,"Who we are looking for:Creativity in new ideas and future focus vision.Collaboration with colleagues and the community at large.Work Smart, Play Smart!What you'll do:Study the AI technology trends and applications for industries, especially the manufacturing industry, so as to identify the potential solutions for industries’ productivity improvement and upgradingPropose and evaluate technical ideas with other functional units so as to design a suitable solution on order prediction, PHM, fault diagnosis, quality forecast and so on against the requirements and demandsDefine the technical development roadmap of AI technology applications so as to work out the R&D tasks and implementation planBe responsible for the development and optimization of the industrial AI and machine learning algorithms of the specific application fieldsLead project team to carry out R&D tasks against the plans and complete the projects (including R&D work, project documents, technical report and paper, patents, etc.) as scheduled with high standardBuild up and maintain a good network with other professional organization so as to acquire new technologies and create synergyYou'll be a good fit if you have/are:Master or above Degree in Computer Science, Mathematics, Statistics, Intelligent Systems, related disciplines or equivalentUnderstanding on AI and machine learning framework, such as Tensorflow, PyTorch, Pandas, Scikit-learn, etc., and experience in NodeJS, JavaScript, Python, R or similar languagesKnowledge of Linux and cloud application, such as Azure, AWS and GCP an advantageGood writing, presentation, communication and analytical skillsPassionate, self-motivated, and able to work independently and meet tight deadlinesApplicants may be considered for other positions if not matching the requirements of the subject positionNote: Applicant may be considered for other positions if not matching the requirements of the subject position.What we offer and What you’ll like here:Exciting new technology development (e.g. IoT, 5G, LoRA, AI etc.) to actualize your creative ideasOpportunities to work with our innovative and vibrant talentsEmbracing work flexibility (including Flexi-work hour and Flexi-location)Dynamic and energetic culture with smart outfits & sport shoesAcademic training scholarship to take your career up a notchMPF Top-up & dental benefitMedical benefits from Day 1 with extended coverage to dependent(s)"
Data Scientist,Cornerstone Global Partners,"Quarry Bay, Eastern District","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,職責描述：負責處理海量數據，進行建模和分析報告的編寫；通過研究客戶的基本信息、信用信息和行為日誌等數據，實現風險建模；應用機器學習技術解決金融科技相關場景中的問題，包括但不限於客戶獲取、風險控制和客戶關係維護；設計風控數據的收集與整合需求，構建風控數據模型數據管理倉庫和數據集市，探索自動化風控平台的實現方案。任職要求：學士及以上學歷，具有大數據分析和機器學習建模相關工作經驗者優先；熟悉數據庫和數據分析工具，能熟練運用SQL、Python、R、SAS等進行高效的數據處理、挖掘和分析；精通機器學習的基本原理和應用，對常見算法如GBDT、XGBoost、隨機森林和邏輯回歸有深入理解，具備深度學習經驗者將更具優勢；具備良好的邏輯分析能力，善於溝通和表達，能承受快節奏的工作壓力，願意不斷學習新知識；優秀的英文閱讀和交流能力將被視為加分項。
Research Assistant – Big Data Intelligence Centre,The Hang Seng University of Hong Kong,"Siu Lek Yuen, Sha Tin District",Research & Fellowships (Education & Training),Full time,"ResponsibilitiesThe appointee will assist the project leader in conducting research work. Research duties include, but not limited to, literature review, model development and data analysis.Applicants ShouldApplicants should:possess a bachelor’s degree or above in computer science, statistics or a related field;have experience in programming such as SAS, MATLAB, Python, R; andbe able to work independently."
Contract Junior Cybersecurity Analyst,Company Confidential,"Kowloon Bay, Kwun Tong District",Security (Information & Communication Technology),Full time,"DutiesDevelop and execute cybersecurity awareness program, phishing simulation, and training to promote and raise cybersecurity awareness among employees.Create engaging and relevant cybersecurity awareness materials that resonates with diverse audiences within the organization.Develop online and offline promotion and awareness contents, including but not limited to web pages, business reports, presentations, notification releases etc.Assist and coordinate cybersecurity risk assessment and ISO 27001 audit activities.Maintain and update records of security metrics, Key Performance Indicators of security controls, cybersecurity risk assessment and audit results.Assist in preparing cybersecurity reports and responding to user enquiries.Participate in ad hoc tasks and cybersecurity related projects as required.RequirementsDegree or Higher Diploma in Information Technology, Information Systems, Computer Science, Information Security, or related discipline.A minimum of 3 years relevant working experience.Possession of professional certificates in Certified Information Systems Security Professional (CISSP), Certified Information Systems Auditor (CISA) or equivalent will be advantageousGood understanding of threat landscape and trends, and act proactively on threat intelligenceDemonstrated ability to deliver engaging presentations and training sessions on security topics.Experience in strong graphic design will be a definite advantage.Be self-motivated, initiative with good problem solving and analytical skills.Ability to work independently while contributing to a strong teamwork environment.Strong interpersonal and communication skills in both written and spoken English and Chinese."
Senior Data Scientist,Hong Kong Industrial Artificial Intelligence and Robotics Centre Limited,"Science Park, Tai Po District",Consultants (Information & Communication Technology),Full time,"Hong Kong Industrial Artificial Intelligence and Robotics Centre Limited (Flair)Senior Data ScientistRef: Flair296/24, 9782Who are we:The Hong Kong Productivity Council (HKPC) and the RWTH Aachen Campus from Germany join forces to establish the Hong Kong Industrial Artificial Intelligence & Robotics Centre (FLAIR). Located at the Hong Kong Science Park, FLAIR is part of AIR@InnoHK, which is one of the two world-class research clusters being established by InnoHK Clusters of the HKSAR Government, to support Hong Kong in developing into an international innovation & technology hub.As the sole founder, HKPC will work together with RWTH Aachen Campus, the major collaborator of FLAIR, by bundling their strengths and repertoire of resources in technical expertise, networks, innovation and patents etc. to set up the FLAIR and support its operation.Who we are looking for:Creativity in new ideas and future focus vision.Collaboration with colleagues and the community at large.Work Smart, Play Smart!What you'll do:Study the AI technology trends and applications for industries, especially the manufacturing industry, so as to identify the potential solutions for industries’ productivity improvement and upgradingPropose and evaluate technical ideas with other functional units so as to design a suitable solution on order prediction, PHM, fault diagnosis, quality forecast and so on against the requirements and demandsDefine the technical development roadmap of AI technology applications so as to work out the R&D tasks and implementation planBe responsible for the development and optimization of the industrial AI and machine learning algorithms of the specific application fieldsLead project team to carry out R&D tasks against the plans and complete the projects (including R&D work, project documents, technical report and paper, patents, etc.) as scheduled with high standardBuild up and maintain a good network with other professional organization so as to acquire new technologies and create synergyYou'll be a good fit if you have/are:Master or above Degree in Computer Science, Mathematics, Statistics, Intelligent Systems, related disciplines or equivalentAt least 6 years hands-on experience in data analysis with actual usersUnderstanding on AI and machine learning framework, such as Tensorflow, PyTorch, Pandas, Scikit-learn, etc., and experience in NodeJS, JavaScript, Python, R or similar languagesKnowledge of Linux and cloud application, such as Azure, AWS and GCP an advantageGood writing, presentation, communication and analytical skillsPassionate, self-motivated, and able to work independently and meet tight deadlinesApplicants may be considered for other positions if not matching the requirements of the subject positionNote:Applicant may be considered for other positions if not matching the requirements of the subject position.What we offer and What you’ll like here:•    Exciting new technology development (e.g. IoT, 5G, LoRA, AI etc.) to actualize your creative ideas•    Opportunities to work with our innovative and vibrant talents•    Embracing work flexibility (including Flexi-work hour)•    Dynamic and energetic culture with smart outfits & sport shoes•    Academic training scholarship to take your career up a notch•    MPF Top-up & dental benefit•    Medical benefits from Day 1 with extended coverage to dependent(s)Apply now if you’re ready to take the challenge!Flair will take into consideration both the quantitative and qualitative requirements of the position when selecting the suitable candidates. A competitive salary package commensurate with academic qualifications and experience will be offered.Applicants are welcome to submit application in 2 weeks from the posting date.  Recruitment will continue until the position is filled.Personal data collected will be used for recruitment purpose only.  Candidates not invited for interviews within 6 weeks may consider their applications unsuccessful and the applications will be disposed by FLAIR within 12 months."
Junior Cyber Security Analyst,Dimension Data China/Hong Kong Limited,Hong Kong,Help Desk & IT Support (Information & Communication Technology),Full time,"## Location:This is a remote position.## Responsibilities:1. **Incident Response**: Handle Level 1 incident response duties, including initial analysis, escalation, and resolution of security incidents.2. **Email Security**: Respond to internal user requests regarding phishing emails, ensuring prompt and effective resolution.3. **Malware Mitigation**: Address reports of malware infections or unwanted software downloads, taking necessary steps to mitigate risks and prevent future occurrences.4. **Continuous Learning**: Stay updated on the latest cyber security threats and trends to ensure our security measures are always one step ahead.## Requirements:1. Basic knowledge of cyber security principles and best practices.2. Experience in incident response is highly desirable.3. Familiarity with common security technologies (firewalls, IDS/IPS, etc.) and standards (ISO 27001, NIST, etc.).4. Strong problem-solving skills and the ability to work under pressure.5. Excellent communication skills, with the ability to explain complex security issues to non-technical colleagues.6. Cyber security certification (e.g., CompTIA Security+, CISSP) is a plus but not a must.## Work Schedule:This is a full-time position requiring 5 days of work per week, with flexibility to work 1-2 days on weekends (Saturday and/or Sunday) as needed."
